ticket_id,date_created,customer_id,channel,category,sub_category,query_text,sentiment,risk_level,resolution_text,resolution_time_minutes,resolved_by,customer_satisfaction,escalated
TKT-10104,2023-12-10,CUST879238,Branch,KYC,My account is frozen because of KYC but ,My account is frozen because of KYC but I submitted documents,Angry,Medium,Documents received but not yet verified. Account unfreezing expected within 48 hours. Customer to re-submit Aadhaar and PAN via net banking portal.,90,Auto-Resolved,5,No
TKT-10105,2023-07-28,CUST393328,Web Chat,KYC,My account is frozen because of KYC but ,My account is frozen because of KYC but I submitted documents,Urgent,Medium,Documents received but not yet verified. Account unfreezing expected within 48 hours. Customer to re-submit Aadhaar and PAN via net banking portal.,62,Rahul M.,4,No
TKT-10106,2023-07-08,CUST670913,Phone,KYC,I can't complete video KYC — the link ke,I can't complete video KYC — the link keeps failing,Frustrated,Low,"Video KYC link re-sent to registered mobile. Alternatively, visit branch with original Aadhaar and PAN.",131,Anjali K.,3,No
TKT-10107,2023-04-19,CUST772875,Branch,KYC,I can't complete video KYC — the link ke,I can't complete video KYC — the link keeps failing,Frustrated,Low,"Video KYC link re-sent to registered mobile. Alternatively, visit branch with original Aadhaar and PAN.",42,Anjali K.,3,No
TKT-10108,2023-04-17,CUST714867,Mobile App,KYC,I can't complete video KYC — the link ke,I can't complete video KYC — the link keeps failing,Neutral,Low,"Video KYC link re-sent to registered mobile. Alternatively, visit branch with original Aadhaar and PAN.",114,Rahul M.,5,No
TKT-10109,2023-05-09,CUST937302,Mobile App,KYC,I can't complete video KYC — the link ke,I can't complete video KYC — the link keeps failing,Frustrated,Low,"Video KYC link re-sent to registered mobile. Alternatively, visit branch with original Aadhaar and PAN.",199,Priya S.,3,No
TKT-10110,2023-01-09,CUST282710,Phone,KYC,I can't complete video KYC — the link ke,I can't complete video KYC — the link keeps failing,Frustrated,Low,"Video KYC link re-sent to registered mobile. Alternatively, visit branch with original Aadhaar and PAN.",62,Auto-Resolved,4,No
TKT-10111,2023-07-05,CUST638169,Branch,KYC,Why is my KYC showing as incomplete even,Why is my KYC showing as incomplete even after Aadhaar update?,Frustrated,Medium,Aadhaar-bank linkage verification pending at UIDAI. Manual KYC process initiated. Customer to submit Form 60/61 if PAN not available.,72,Sneha R.,3,No
TKT-10112,2023-08-23,CUST774591,Web Chat,KYC,Why is my KYC showing as incomplete even,Why is my KYC showing as incomplete even after Aadhaar update?,Frustrated,Medium,Aadhaar-bank linkage verification pending at UIDAI. Manual KYC process initiated. Customer to submit Form 60/61 if PAN not available.,76,Vikram P.,4,No
TKT-10113,2023-06-14,CUST737846,Mobile App,KYC,Why is my KYC showing as incomplete even,Why is my KYC showing as incomplete even after Aadhaar update?,Frustrated,Medium,Aadhaar-bank linkage verification pending at UIDAI. Manual KYC process initiated. Customer to submit Form 60/61 if PAN not available.,31,Anjali K.,5,No
TKT-10114,2023-09-29,CUST409222,Email,KYC,Why is my KYC showing as incomplete even,Why is my KYC showing as incomplete even after Aadhaar update?,Confused,Medium,Aadhaar-bank linkage verification pending at UIDAI. Manual KYC process initiated. Customer to submit Form 60/61 if PAN not available.,70,Priya S.,5,No
TKT-10115,2023-08-09,CUST573489,Mobile App,KYC,Why is my KYC showing as incomplete even,Why is my KYC showing as incomplete even after Aadhaar update?,Angry,Medium,Aadhaar-bank linkage verification pending at UIDAI. Manual KYC process initiated. Customer to submit Form 60/61 if PAN not available.,58,Vikram P.,4,No
TKT-10116,2023-12-07,CUST367271,Phone,KYC,I updated my address but KYC is still sh,I updated my address but KYC is still showing old address,Neutral,Low,Address update request in processing queue. Physical verification of new address to be done by field officer. ETA: 3-5 working days.,205,Vikram P.,3,No
TKT-10117,2023-07-10,CUST951201,Mobile App,KYC,I updated my address but KYC is still sh,I updated my address but KYC is still showing old address,Confused,Low,Address update request in processing queue. Physical verification of new address to be done by field officer. ETA: 3-5 working days.,45,Sneha R.,5,No
TKT-10118,2023-12-07,CUST886730,Email,KYC,I updated my address but KYC is still sh,I updated my address but KYC is still showing old address,Urgent,Low,Address update request in processing queue. Physical verification of new address to be done by field officer. ETA: 3-5 working days.,43,Anjali K.,5,No
TKT-10119,2023-03-21,CUST788637,Email,KYC,I updated my address but KYC is still sh,I updated my address but KYC is still showing old address,Neutral,Low,Address update request in processing queue. Physical verification of new address to be done by field officer. ETA: 3-5 working days.,57,Anjali K.,5,No
TKT-10120,2023-08-08,CUST986209,Branch,KYC,I updated my address but KYC is still sh,I updated my address but KYC is still showing old address,Confused,Low,Address update request in processing queue. Physical verification of new address to be done by field officer. ETA: 3-5 working days.,187,Auto-Resolved,5,No
TKT-10121,2023-04-03,CUST386544,Phone,KYC,My NRI account KYC is expiring next mont,My NRI account KYC is expiring next month,Anxious,Medium,"NRI KYC renewal initiated. Customer to submit valid passport copy, overseas address proof, and FEMA declaration.",59,Priya S.,3,No
TKT-10122,2023-11-21,CUST132146,Web Chat,KYC,My NRI account KYC is expiring next mont,My NRI account KYC is expiring next month,Urgent,Medium,"NRI KYC renewal initiated. Customer to submit valid passport copy, overseas address proof, and FEMA declaration.",82,Rahul M.,4,No
TKT-10123,2023-06-16,CUST914571,Branch,KYC,My NRI account KYC is expiring next mont,My NRI account KYC is expiring next month,Confused,Medium,"NRI KYC renewal initiated. Customer to submit valid passport copy, overseas address proof, and FEMA declaration.",25,Priya S.,3,No
TKT-10124,2023-08-15,CUST794093,Email,KYC,My NRI account KYC is expiring next mont,My NRI account KYC is expiring next month,Angry,Medium,"NRI KYC renewal initiated. Customer to submit valid passport copy, overseas address proof, and FEMA declaration.",71,Vikram P.,4,No
TKT-10125,2023-02-26,CUST397005,Branch,KYC,My NRI account KYC is expiring next mont,My NRI account KYC is expiring next month,Angry,Medium,"NRI KYC renewal initiated. Customer to submit valid passport copy, overseas address proof, and FEMA declaration.",82,Auto-Resolved,4,No
TKT-10126,2023-04-15,CUST416061,Mobile App,KYC,My company account KYC documents were su,My company account KYC documents were submitted but account is still restricted,Neutral,Medium,Corporate KYC under compliance review. Board resolution and latest MCA filings required. Account to be unblocked within 5 working days.,47,Anjali K.,4,No
TKT-10127,2023-03-08,CUST498676,Branch,KYC,My company account KYC documents were su,My company account KYC documents were submitted but account is still restricted,Urgent,Medium,Corporate KYC under compliance review. Board resolution and latest MCA filings required. Account to be unblocked within 5 working days.,44,Sneha R.,5,No
TKT-10128,2023-01-10,CUST582087,Web Chat,KYC,My company account KYC documents were su,My company account KYC documents were submitted but account is still restricted,Anxious,Medium,Corporate KYC under compliance review. Board resolution and latest MCA filings required. Account to be unblocked within 5 working days.,88,Vikram P.,5,No
TKT-10129,2023-07-27,CUST121869,Phone,KYC,My company account KYC documents were su,My company account KYC documents were submitted but account is still restricted,Neutral,Medium,Corporate KYC under compliance review. Board resolution and latest MCA filings required. Account to be unblocked within 5 working days.,73,Auto-Resolved,4,No
TKT-10130,2023-10-29,CUST519902,Branch,KYC,My company account KYC documents were su,My company account KYC documents were submitted but account is still restricted,Frustrated,Medium,Corporate KYC under compliance review. Board resolution and latest MCA filings required. Account to be unblocked within 5 working days.,65,Anjali K.,5,No
TKT-10131,2023-11-21,CUST219565,Branch,KYC,I can't link my Aadhaar due to name mism,I can't link my Aadhaar due to name mismatch,Confused,Medium,Name mismatch between bank records and Aadhaar identified. Branch visit required with gazette notification or court affidavit for name correction.,39,Anjali K.,4,No
TKT-10132,2023-03-30,CUST731661,Mobile App,KYC,I can't link my Aadhaar due to name mism,I can't link my Aadhaar due to name mismatch,Urgent,Medium,Name mismatch between bank records and Aadhaar identified. Branch visit required with gazette notification or court affidavit for name correction.,24,Rahul M.,5,No
TKT-10133,2023-12-15,CUST691912,Branch,KYC,I can't link my Aadhaar due to name mism,I can't link my Aadhaar due to name mismatch,Anxious,Medium,Name mismatch between bank records and Aadhaar identified. Branch visit required with gazette notification or court affidavit for name correction.,55,Rahul M.,4,No
TKT-10134,2023-10-30,CUST158900,Phone,KYC,I can't link my Aadhaar due to name mism,I can't link my Aadhaar due to name mismatch,Confused,Medium,Name mismatch between bank records and Aadhaar identified. Branch visit required with gazette notification or court affidavit for name correction.,24,Anjali K.,4,No
TKT-10135,2023-11-27,CUST996840,Web Chat,KYC,I can't link my Aadhaar due to name mism,I can't link my Aadhaar due to name mismatch,Confused,Medium,Name mismatch between bank records and Aadhaar identified. Branch visit required with gazette notification or court affidavit for name correction.,79,Vikram P.,4,No
TKT-10136,2023-10-20,CUST783501,Mobile App,KYC,Why is my account marked as dormant,Why is my account marked as dormant?,Anxious,Low,Account dormant due to no transactions in 24 months. Reactivation requires KYC re-submission and minimum transaction at branch.,184,Vikram P.,5,No
TKT-10137,2023-02-13,CUST629057,Mobile App,KYC,Why is my account marked as dormant,Why is my account marked as dormant?,Frustrated,Low,Account dormant due to no transactions in 24 months. Reactivation requires KYC re-submission and minimum transaction at branch.,93,Auto-Resolved,4,No
TKT-10138,2023-07-10,CUST396635,Email,KYC,Why is my account marked as dormant,Why is my account marked as dormant?,Angry,Low,Account dormant due to no transactions in 24 months. Reactivation requires KYC re-submission and minimum transaction at branch.,228,Anjali K.,5,No
TKT-10139,2023-06-18,CUST199096,Branch,KYC,Why is my account marked as dormant,Why is my account marked as dormant?,Urgent,Low,Account dormant due to no transactions in 24 months. Reactivation requires KYC re-submission and minimum transaction at branch.,128,Anjali K.,4,No
TKT-10140,2023-03-14,CUST466813,Phone,KYC,Why is my account marked as dormant,Why is my account marked as dormant?,Urgent,Low,Account dormant due to no transactions in 24 months. Reactivation requires KYC re-submission and minimum transaction at branch.,208,Auto-Resolved,4,No
TKT-10141,2023-07-12,CUST774751,Phone,KYC,My PAN verification is failing on net ba,My PAN verification is failing on net banking,Neutral,Medium,PAN verification failure traced to Income Tax database discrepancy. Customer advised to visit nearest Income Tax office to rectify mismatch.,82,Priya S.,5,No
TKT-10142,2023-04-03,CUST324597,Phone,KYC,My PAN verification is failing on net ba,My PAN verification is failing on net banking,Angry,Medium,PAN verification failure traced to Income Tax database discrepancy. Customer advised to visit nearest Income Tax office to rectify mismatch.,39,Rahul M.,3,No
TKT-10143,2023-09-27,CUST139581,Phone,KYC,My PAN verification is failing on net ba,My PAN verification is failing on net banking,Confused,Medium,PAN verification failure traced to Income Tax database discrepancy. Customer advised to visit nearest Income Tax office to rectify mismatch.,31,Sneha R.,4,No
TKT-10144,2023-08-13,CUST145814,Email,KYC,My PAN verification is failing on net ba,My PAN verification is failing on net banking,Anxious,Medium,PAN verification failure traced to Income Tax database discrepancy. Customer advised to visit nearest Income Tax office to rectify mismatch.,45,Vikram P.,5,No
TKT-10145,2023-05-03,CUST424500,Email,KYC,My PAN verification is failing on net ba,My PAN verification is failing on net banking,Neutral,Medium,PAN verification failure traced to Income Tax database discrepancy. Customer advised to visit nearest Income Tax office to rectify mismatch.,62,Auto-Resolved,5,No
TKT-10146,2023-09-28,CUST538997,Mobile App,KYC,I need to update my mobile number for KY,I need to update my mobile number for KYC,Neutral,Low,"Mobile number update request received. OTP sent to old number for confirmation. If old number unavailable, branch visit with ID proof required.",235,Sneha R.,3,No
TKT-10147,2023-02-22,CUST845957,Branch,KYC,I need to update my mobile number for KY,I need to update my mobile number for KYC,Frustrated,Low,"Mobile number update request received. OTP sent to old number for confirmation. If old number unavailable, branch visit with ID proof required.",102,Priya S.,3,No
TKT-10148,2023-04-24,CUST956375,Email,KYC,I need to update my mobile number for KY,I need to update my mobile number for KYC,Anxious,Low,"Mobile number update request received. OTP sent to old number for confirmation. If old number unavailable, branch visit with ID proof required.",36,Vikram P.,3,No
TKT-10149,2023-07-11,CUST335445,Web Chat,KYC,I need to update my mobile number for KY,I need to update my mobile number for KYC,Anxious,Low,"Mobile number update request received. OTP sent to old number for confirmation. If old number unavailable, branch visit with ID proof required.",55,Auto-Resolved,5,No
TKT-10150,2023-08-30,CUST829884,Mobile App,KYC,I need to update my mobile number for KY,I need to update my mobile number for KYC,Urgent,Low,"Mobile number update request received. OTP sent to old number for confirmation. If old number unavailable, branch visit with ID proof required.",150,Vikram P.,5,No
TKT-10151,2023-10-08,CUST862560,Branch,Account Access,I'm unable to login to my net banking ac,I'm unable to login to my net banking account,Confused,Low,Net banking access suspended after 3 failed login attempts. Account unlocked. New IPIN to be generated via ATM or branch.,138,Priya S.,4,No
TKT-10152,2023-11-24,CUST932463,Branch,Account Access,I'm unable to login to my net banking ac,I'm unable to login to my net banking account,Angry,Low,Net banking access suspended after 3 failed login attempts. Account unlocked. New IPIN to be generated via ATM or branch.,46,Priya S.,4,No
TKT-10153,2023-05-04,CUST853448,Mobile App,Account Access,I'm unable to login to my net banking ac,I'm unable to login to my net banking account,Anxious,Low,Net banking access suspended after 3 failed login attempts. Account unlocked. New IPIN to be generated via ATM or branch.,139,Priya S.,5,No
TKT-10154,2023-12-09,CUST189772,Branch,Account Access,I'm unable to login to my net banking ac,I'm unable to login to my net banking account,Anxious,Low,Net banking access suspended after 3 failed login attempts. Account unlocked. New IPIN to be generated via ATM or branch.,47,Sneha R.,5,No
TKT-10155,2023-08-29,CUST145649,Email,Account Access,I'm unable to login to my net banking ac,I'm unable to login to my net banking account,Anxious,Low,Net banking access suspended after 3 failed login attempts. Account unlocked. New IPIN to be generated via ATM or branch.,94,Auto-Resolved,3,No
TKT-10156,2023-11-18,CUST208699,Branch,Account Access,My account is showing negative balance b,My account is showing negative balance but I didn't overdraw,Urgent,Low,Negative balance due to system fee applied at month-end. Reversal processed. Customer opted out of overdraft facility.,223,Anjali K.,3,No
TKT-10157,2023-08-26,CUST829168,Email,Account Access,My account is showing negative balance b,My account is showing negative balance but I didn't overdraw,Urgent,Low,Negative balance due to system fee applied at month-end. Reversal processed. Customer opted out of overdraft facility.,76,Rahul M.,3,No
TKT-10158,2023-01-22,CUST430926,Phone,Account Access,My account is showing negative balance b,My account is showing negative balance but I didn't overdraw,Confused,Low,Negative balance due to system fee applied at month-end. Reversal processed. Customer opted out of overdraft facility.,131,Sneha R.,4,No
TKT-10159,2023-07-02,CUST918771,Web Chat,Account Access,My account is showing negative balance b,My account is showing negative balance but I didn't overdraw,Urgent,Low,Negative balance due to system fee applied at month-end. Reversal processed. Customer opted out of overdraft facility.,114,Anjali K.,3,No
TKT-10160,2023-06-23,CUST295892,Email,Account Access,My account is showing negative balance b,My account is showing negative balance but I didn't overdraw,Urgent,Low,Negative balance due to system fee applied at month-end. Reversal processed. Customer opted out of overdraft facility.,157,Anjali K.,5,No
TKT-10161,2023-08-09,CUST731718,Mobile App,Account Access,I forgot my ATM PIN and can't reset it o,I forgot my ATM PIN and can't reset it online,Confused,Low,"ATM PIN reset link sent to registered email. Alternatively, regenerate PIN via IVR by pressing *2 after balance enquiry.",105,Anjali K.,3,No
TKT-10162,2023-11-05,CUST852524,Email,Account Access,I forgot my ATM PIN and can't reset it o,I forgot my ATM PIN and can't reset it online,Neutral,Low,"ATM PIN reset link sent to registered email. Alternatively, regenerate PIN via IVR by pressing *2 after balance enquiry.",206,Vikram P.,4,No
TKT-10163,2023-05-21,CUST770532,Web Chat,Account Access,I forgot my ATM PIN and can't reset it o,I forgot my ATM PIN and can't reset it online,Frustrated,Low,"ATM PIN reset link sent to registered email. Alternatively, regenerate PIN via IVR by pressing *2 after balance enquiry.",201,Auto-Resolved,4,No
TKT-10164,2023-03-15,CUST989894,Branch,Account Access,I forgot my ATM PIN and can't reset it o,I forgot my ATM PIN and can't reset it online,Urgent,Low,"ATM PIN reset link sent to registered email. Alternatively, regenerate PIN via IVR by pressing *2 after balance enquiry.",230,Vikram P.,3,No
TKT-10165,2023-07-16,CUST694799,Web Chat,Account Access,I forgot my ATM PIN and can't reset it o,I forgot my ATM PIN and can't reset it online,Confused,Low,"ATM PIN reset link sent to registered email. Alternatively, regenerate PIN via IVR by pressing *2 after balance enquiry.",69,Auto-Resolved,4,No
TKT-10166,2023-09-29,CUST484774,Email,Account Access,My salary credit is delayed by 3 days,My salary credit is delayed by 3 days,Anxious,Low,Employer's payroll batch delayed — affecting multiple accounts. Salary credited. Customer advised to contact HR for future delays.,196,Anjali K.,3,No
TKT-10167,2023-07-18,CUST688956,Web Chat,Account Access,My salary credit is delayed by 3 days,My salary credit is delayed by 3 days,Anxious,Low,Employer's payroll batch delayed — affecting multiple accounts. Salary credited. Customer advised to contact HR for future delays.,228,Anjali K.,5,No
TKT-10168,2023-03-04,CUST242321,Web Chat,Account Access,My salary credit is delayed by 3 days,My salary credit is delayed by 3 days,Angry,Low,Employer's payroll batch delayed — affecting multiple accounts. Salary credited. Customer advised to contact HR for future delays.,74,Auto-Resolved,4,No
TKT-10169,2023-02-03,CUST676713,Branch,Account Access,My salary credit is delayed by 3 days,My salary credit is delayed by 3 days,Anxious,Low,Employer's payroll batch delayed — affecting multiple accounts. Salary credited. Customer advised to contact HR for future delays.,106,Rahul M.,5,No
TKT-10170,2023-04-13,CUST930541,Mobile App,Account Access,My salary credit is delayed by 3 days,My salary credit is delayed by 3 days,Neutral,Low,Employer's payroll batch delayed — affecting multiple accounts. Salary credited. Customer advised to contact HR for future delays.,232,Vikram P.,3,No
TKT-10171,2023-03-08,CUST741674,Web Chat,Account Access,I need to close my account but there are,I need to close my account but there are pending charges,Frustrated,Low,"Account closure request received. Pending charges: ₹5,000. Statement emailed. Account will be closed after charge settlement within 7 days.",109,Vikram P.,5,No
TKT-10172,2023-03-06,CUST432427,Web Chat,Account Access,I need to close my account but there are,I need to close my account but there are pending charges,Angry,Low,"Account closure request received. Pending charges: ₹10,000. Statement emailed. Account will be closed after charge settlement within 7 days.",149,Auto-Resolved,5,No
TKT-10173,2023-03-08,CUST553633,Branch,Account Access,I need to close my account but there are,I need to close my account but there are pending charges,Frustrated,Low,"Account closure request received. Pending charges: ₹5,000. Statement emailed. Account will be closed after charge settlement within 7 days.",61,Sneha R.,3,No
TKT-10174,2023-09-23,CUST397846,Web Chat,Account Access,I need to close my account but there are,I need to close my account but there are pending charges,Anxious,Low,"Account closure request received. Pending charges: ₹3,500. Statement emailed. Account will be closed after charge settlement within 7 days.",80,Auto-Resolved,5,No
TKT-10175,2023-02-17,CUST626986,Mobile App,Account Access,I need to close my account but there are,I need to close my account but there are pending charges,Confused,Low,"Account closure request received. Pending charges: ₹3,500. Statement emailed. Account will be closed after charge settlement within 7 days.",178,Rahul M.,3,No
TKT-10176,2023-01-22,CUST965322,Web Chat,Account Access,My fixed deposit matured but amount not ,My fixed deposit matured but amount not credited,Frustrated,Low,"FD maturity amount of ₹25,000 queued for credit. Delay due to bank holiday. Amount to be credited next working day with applicable interest.",41,Auto-Resolved,5,No
TKT-10177,2023-11-24,CUST131757,Email,Account Access,My fixed deposit matured but amount not ,My fixed deposit matured but amount not credited,Urgent,Low,"FD maturity amount of ₹3,500 queued for credit. Delay due to bank holiday. Amount to be credited next working day with applicable interest.",169,Anjali K.,5,No
TKT-10178,2023-08-21,CUST176517,Web Chat,Account Access,My fixed deposit matured but amount not ,My fixed deposit matured but amount not credited,Neutral,Low,"FD maturity amount of ₹3,500 queued for credit. Delay due to bank holiday. Amount to be credited next working day with applicable interest.",142,Vikram P.,4,No
TKT-10179,2023-06-13,CUST869864,Phone,Account Access,My fixed deposit matured but amount not ,My fixed deposit matured but amount not credited,Angry,Low,"FD maturity amount of ₹10,000 queued for credit. Delay due to bank holiday. Amount to be credited next working day with applicable interest.",63,Anjali K.,5,No
TKT-10180,2023-05-17,CUST571435,Mobile App,Account Access,My fixed deposit matured but amount not ,My fixed deposit matured but amount not credited,Neutral,Low,"FD maturity amount of ₹15,000 queued for credit. Delay due to bank holiday. Amount to be credited next working day with applicable interest.",54,Priya S.,4,No
TKT-10181,2023-10-23,CUST856157,Phone,Account Access,I want to add my wife as a joint account,I want to add my wife as a joint account holder,Neutral,Low,"Joint account request initiated. Both holders to visit branch with PAN, Aadhaar, and photographs for mandate form signing.",225,Rahul M.,4,No
TKT-10182,2023-02-16,CUST512344,Branch,Account Access,I want to add my wife as a joint account,I want to add my wife as a joint account holder,Angry,Low,"Joint account request initiated. Both holders to visit branch with PAN, Aadhaar, and photographs for mandate form signing.",91,Rahul M.,5,No
TKT-10183,2023-12-01,CUST805188,Email,Account Access,I want to add my wife as a joint account,I want to add my wife as a joint account holder,Anxious,Low,"Joint account request initiated. Both holders to visit branch with PAN, Aadhaar, and photographs for mandate form signing.",167,Priya S.,3,No
TKT-10184,2023-07-07,CUST147440,Email,Account Access,I want to add my wife as a joint account,I want to add my wife as a joint account holder,Frustrated,Low,"Joint account request initiated. Both holders to visit branch with PAN, Aadhaar, and photographs for mandate form signing.",175,Sneha R.,3,No
TKT-10185,2023-08-19,CUST901535,Branch,Account Access,I want to add my wife as a joint account,I want to add my wife as a joint account holder,Anxious,Low,"Joint account request initiated. Both holders to visit branch with PAN, Aadhaar, and photographs for mandate form signing.",189,Auto-Resolved,5,No
TKT-10186,2023-10-13,CUST483366,Mobile App,Account Access,My cheque was returned even though I had,My cheque was returned even though I had sufficient balance,Neutral,Medium,Cheque return investigated. Signature mismatch detected. New cheque book issued. Customer advised to submit fresh signature card at branch.,80,Vikram P.,5,No
TKT-10187,2023-09-23,CUST579187,Mobile App,Account Access,My cheque was returned even though I had,My cheque was returned even though I had sufficient balance,Confused,Medium,Cheque return investigated. Signature mismatch detected. New cheque book issued. Customer advised to submit fresh signature card at branch.,80,Rahul M.,4,No
TKT-10188,2023-10-31,CUST452713,Branch,Account Access,My cheque was returned even though I had,My cheque was returned even though I had sufficient balance,Confused,Medium,Cheque return investigated. Signature mismatch detected. New cheque book issued. Customer advised to submit fresh signature card at branch.,83,Vikram P.,5,No
TKT-10189,2023-12-11,CUST214928,Email,Account Access,My cheque was returned even though I had,My cheque was returned even though I had sufficient balance,Confused,Medium,Cheque return investigated. Signature mismatch detected. New cheque book issued. Customer advised to submit fresh signature card at branch.,54,Auto-Resolved,5,No
TKT-10190,2023-04-27,CUST856442,Web Chat,Account Access,My cheque was returned even though I had,My cheque was returned even though I had sufficient balance,Confused,Medium,Cheque return investigated. Signature mismatch detected. New cheque book issued. Customer advised to submit fresh signature card at branch.,76,Rahul M.,5,No
TKT-10191,2023-05-05,CUST133104,Branch,Account Access,Why was my NEFT transfer delayed,Why was my NEFT transfer delayed?,Urgent,Low,NEFT transfer queued in last batch of the day. Amount credited next working day. Customer informed of NEFT cut-off timings.,58,Rahul M.,3,No
TKT-10192,2023-04-15,CUST530311,Branch,Account Access,Why was my NEFT transfer delayed,Why was my NEFT transfer delayed?,Confused,Low,NEFT transfer queued in last batch of the day. Amount credited next working day. Customer informed of NEFT cut-off timings.,150,Auto-Resolved,5,No
TKT-10193,2023-06-16,CUST794395,Email,Account Access,Why was my NEFT transfer delayed,Why was my NEFT transfer delayed?,Confused,Low,NEFT transfer queued in last batch of the day. Amount credited next working day. Customer informed of NEFT cut-off timings.,126,Anjali K.,3,No
TKT-10194,2023-12-15,CUST774558,Phone,Account Access,Why was my NEFT transfer delayed,Why was my NEFT transfer delayed?,Confused,Low,NEFT transfer queued in last batch of the day. Amount credited next working day. Customer informed of NEFT cut-off timings.,153,Rahul M.,3,No
TKT-10195,2023-12-27,CUST317346,Email,Account Access,Why was my NEFT transfer delayed,Why was my NEFT transfer delayed?,Anxious,Low,NEFT transfer queued in last batch of the day. Amount credited next working day. Customer informed of NEFT cut-off timings.,152,Anjali K.,5,No
TKT-10196,2023-07-22,CUST958130,Phone,Account Access,I can't see my recent transactions in th,I can't see my recent transactions in the app,Neutral,Low,App sync issue identified. Cache cleared from backend. Customer advised to log out and log back in. Transactions visible after refresh.,104,Priya S.,4,No
TKT-10197,2023-04-20,CUST311883,Branch,Account Access,I can't see my recent transactions in th,I can't see my recent transactions in the app,Anxious,Low,App sync issue identified. Cache cleared from backend. Customer advised to log out and log back in. Transactions visible after refresh.,173,Auto-Resolved,4,No
TKT-10198,2023-05-05,CUST153231,Branch,Account Access,I can't see my recent transactions in th,I can't see my recent transactions in the app,Neutral,Low,App sync issue identified. Cache cleared from backend. Customer advised to log out and log back in. Transactions visible after refresh.,193,Rahul M.,3,No
TKT-10199,2023-12-15,CUST908206,Mobile App,Account Access,I can't see my recent transactions in th,I can't see my recent transactions in the app,Frustrated,Low,App sync issue identified. Cache cleared from backend. Customer advised to log out and log back in. Transactions visible after refresh.,170,Rahul M.,4,No
TKT-10200,2023-05-27,CUST777273,Web Chat,Account Access,I can't see my recent transactions in th,I can't see my recent transactions in the app,Frustrated,Low,App sync issue identified. Cache cleared from backend. Customer advised to log out and log back in. Transactions visible after refresh.,196,Sneha R.,3,No
